Provincias;Sexo;Periodo;Total
33 Asturias;Hombres;2013;511.346
33 Asturias;Hombres;2012;516.420
33 Asturias;Hombres;2011;518.571
33 Asturias;Hombres;2010;520.402
33 Asturias;Hombres;2009;520.916
33 Asturias;Hombres;2008;518.291
33 Asturias;Hombres;2007;515.292
33 Asturias;Hombres;2006;516.347
33 Asturias;Hombres;2005;516.329
33 Asturias;Hombres;2004;515.047
33 Asturias;Hombres;2003;515.945
33 Asturias;Hombres;2002;515.166
33 Asturias;Hombres;2001;515.897
33 Asturias;Hombres;2000;516.398
33 Asturias;Hombres;1999;520.012
33 Asturias;Hombres;1998;519.530
33 Asturias;Hombres;1997;""
33 Asturias;Hombres;1996;522.981
33 Asturias;Mujeres;2021;529.127
33 Asturias;Mujeres;2020;532.718
33 Asturias;Mujeres;2019;534.663
33 Asturias;Mujeres;2018;537.506
33 Asturias;Mujeres;2017;541.049
33 Asturias;Mujeres;2016;544.756
33 Asturias;Mujeres;2015;549.054
33 Asturias;Mujeres;2014;553.829
33 Asturias;Mujeres;2013;556.819
33 Asturias;Mujeres;2012;560.940
33 Asturias;Mujeres;2011;562.916
33 Asturias;Mujeres;2010;563.939
33 Asturias;Mujeres;2009;564.373
33 Asturias;Mujeres;2008;561.847
33 Asturias;Mujeres;2007;559.570
33 Asturias;Mujeres;2006;560.549
33 Asturias;Mujeres;2005;560.306
33 Asturias;Mujeres;2004;558.714
33 Asturias;Mujeres;2003;559.436
33 Asturias;Mujeres;2002;558.805
33 Asturias;Mujeres;2001;559.432
33 Asturias;Mujeres;2000;560.169
33 Asturias;Mujeres;1999;564.302
33 Asturias;Mujeres;1998;562.304
33 Asturias;Mujeres;1997;""
33 Asturias;Mujeres;1996;564.904
05 Avila;Total;2021;158.421
05 Avila;Total;2020;157.664
05 Avila;Total;2019;157.640
05 Avila;Total;2018;158.498
05 Avila;Total;2017;160.700
05 Avila;Total;2016;162.514
05 Avila;Total;2015;164.925
05 Avila;Total;2014;167.015
05 Avila;Total;2013;168.825
05 Avila;Total;2012;171.265
05 Avila;Total;2011;172.704
05 Avila;Total;2010;171.896
05 Avila;Total;2009;171.680
05 Avila;Total;2008;171.815
05 Avila;Total;2007;168.638
05 Avila;Total;2006;167.818
05 Avila;Total;2005;167.032
05 Avila;Total;2004;166.108
05 Avila;Total;2003;165.480
05 Avila;Total;2002;165.138
05 Avila;Total;2001;163.885
05 Avila;Total;2000;164.991
05 Avila;Total;1999;166.259
05 Avila;Total;1998;167.132
05 Avila;Total;1997;""
05 Avila;Total;1996;169.342
05 Avila;Hombres;2021;79.562
05 Avila;Hombres;2020;79.109
05 Avila;Hombres;2019;79.071
05 Avila;Hombres;2018;79.538
05 Avila;Hombres;2017;80.674
05 Avila;Hombres;2016;81.630
05 Avila;Hombres;2015;82.880
05 Avila;Hombres;2014;83.998
05 Avila;Hombres;2013;85.025
05 Avila;Hombres;2012;86.434
05 Avila;Hombres;2011;87.085
05 Avila;Hombres;2010;86.728
05 Avila;Hombres;2009;86.720
05 Avila;Hombres;2008;86.836
05 Avila;Hombres;2007;84.897
05 Avila;Hombres;2006;84.290
05 Avila;Hombres;2005;83.941
05 Avila;Hombres;2004;83.393
05 Avila;Hombres;2003;83.036
05 Avila;Hombres;2002;82.951
05 Avila;Hombres;2001;82.297
05 Avila;Hombres;2000;82.790
05 Avila;Hombres;1999;83.441
05 Avila;Hombres;1998;84.013
05 Avila;Hombres;1997;""
05 Avila;Hombres;1996;85.007
05 Avila;Mujeres;2021;78.859
05 Avila;Mujeres;2020;78.555
05 Avila;Mujeres;2019;78.569
05 Avila;Mujeres;2018;78.960
05 Avila;Mujeres;2017;80.026
05 Avila;Mujeres;2016;80.884
05 Avila;Mujeres;2015;82.045
05 Avila;Mujeres;2014;83.017
05 Avila;Mujeres;2013;83.800
05 Avila;Mujeres;2012;84.831
05 Avila;Mujeres;2011;85.619
05 Avila;Mujeres;2010;85.168
05 Avila;Mujeres;2009;84.960
05 Avila;Mujeres;2008;84.979
05 Avila;Mujeres;2007;83.741
05 Avila;Mujeres;2006;83.528
05 Avila;Mujeres;2005;83.091
05 Avila;Mujeres;2004;82.715
05 Avila;Mujeres;2003;82.444
05 Avila;Mujeres;2002;82.187
05 Avila;Mujeres;2001;81.588
05 Avila;Mujeres;2000;82.201
05 Avila;Mujeres;1999;82.818
05 Avila;Mujeres;1998;83.119
05 Avila;Mujeres;1997;""
05 Avila;Mujeres;1996;84.335
06 Badajoz;Total;2021;669.943
06 Badajoz;Total;2020;672.137
06 Badajoz;Total;2019;673.559
06 Badajoz;Total;2018;676.376
06 Badajoz;Total;2017;679.884
06 Badajoz;Total;2016;684.113
06 Badajoz;Total;2015;686.730
06 Badajoz;Total;2014;690.929
06 Badajoz;Total;2013;693.729
06 Badajoz;Total;2012;694.533
06 Badajoz;Total;2011;693.921
06 Badajoz;Total;2010;692.137
06 Badajoz;Total;2009;688.777
06 Badajoz;Total;2008;685.246
06 Badajoz;Total;2007;678.459
06 Badajoz;Total;2006;673.474
06 Badajoz;Total;2005;671.299
06 Badajoz;Total;2004;663.896
06 Badajoz;Total;2003;663.142
06 Badajoz;Total;2002;662.808
06 Badajoz;Total;2001;664.251
06 Badajoz;Total;2000;661.874
06 Badajoz;Total;1999;664.625
06 Badajoz;Total;1998;663.803
06 Badajoz;Total;1997;""
06 Badajoz;Total;1996;656.848
06 Badajoz;Hombres;2021;331.025
06 Badajoz;Hombres;2020;332.204
06 Badajoz;Hombres;2019;333.112
06 Badajoz;Hombres;2018;334.636
06 Badajoz;Hombres;2017;336.566
06 Badajoz;Hombres;2016;338.954
06 Badajoz;Hombres;2015;340.376
06 Badajoz;Hombres;2014;342.654
06 Badajoz;Hombres;2013;344.296
06 Badajoz;Hombres;2012;344.690
06 Badajoz;Hombres;2011;344.291
06 Badajoz;Hombres;2010;343.363
06 Badajoz;Hombres;2009;341.912
06 Badajoz;Hombres;2008;340.243
06 Badajoz;Hombres;2007;336.211
06 Badajoz;Hombres;2006;333.759
06 Badajoz;Hombres;2005;332.481
06 Badajoz;Hombres;2004;328.519
06 Badajoz;Hombres;2003;327.802
06 Badajoz;Hombres;2002;327.691
06 Badajoz;Hombres;2001;328.427
06 Badajoz;Hombres;2000;327.198
06 Badajoz;Hombres;1999;328.541
06 Badajoz;Hombres;1998;328.160
06 Badajoz;Hombres;1997;""
06 Badajoz;Hombres;1996;324.765
06 Badajoz;Mujeres;2021;338.918
06 Badajoz;Mujeres;2020;339.933
06 Badajoz;Mujeres;2019;340.447
06 Badajoz;Mujeres;2018;341.740
06 Badajoz;Mujeres;2017;343.318
06 Badajoz;Mujeres;2016;345.159
06 Badajoz;Mujeres;2015;346.354
06 Badajoz;Mujeres;2014;348.275
06 Badajoz;Mujeres;2013;349.433
06 Badajoz;Mujeres;2012;349.843
06 Badajoz;Mujeres;2011;349.630
06 Badajoz;Mujeres;2010;348.774
06 Badajoz;Mujeres;2009;346.865
06 Badajoz;Mujeres;2008;345.003
06 Badajoz;Mujeres;2007;342.248
06 Badajoz;Mujeres;2006;339.715
06 Badajoz;Mujeres;2005;338.818
06 Badajoz;Mujeres;2004;335.377
06 Badajoz;Mujeres;2003;335.340
06 Badajoz;Mujeres;2002;335.117
06 Badajoz;Mujeres;2001;335.824
06 Badajoz;Mujeres;2000;334.676
06 Badajoz;Mujeres;1999;336.084
06 Badajoz;Mujeres;1998;335.643
06 Badajoz;Mujeres;1997;""
06 Badajoz;Mujeres;1996;332.083
07 Balears, Illes;Total;2021;1.173.008
07 Balears, Illes;Total;2020;1.171.543
07 Balears, Illes;Total;2019;1.149.460
07 Balears, Illes;Total;2018;1.128.908
07 Balears, Illes;Total;2017;1.115.999
07 Balears, Illes;Total;2016;1.107.220
07 Balears, Illes;Total;2015;1.104.479
07 Balears, Illes;Total;2014;1.103.442
07 Balears, Illes;Total;2013;1.111.674
07 Balears, Illes;Total;2012;1.119.439
07 Balears, Illes;Total;2011;1.113.114
07 Balears, Illes;Total;2010;1.106.049
07 Balears, Illes;Total;2009;1.095.426
07 Balears, Illes;Total;2008;1.072.844
07 Balears, Illes;Total;2007;1.030.650
07 Balears, Illes;Total;2006;1.001.062
07 Balears, Illes;Total;2005;983.131
07 Balears, Illes;Total;2004;955.045
07 Balears, Illes;Total;2003;947.361
07 Balears, Illes;Total;2002;916.968
07 Balears, Illes;Total;2001;878.627
07 Balears, Illes;Total;2000;845.630
07 Balears, Illes;Total;1999;821.820
07 Balears, Illes;Total;1998;796.483
07 Balears, Illes;Total;1997;""
07 Balears, Illes;Total;1996;760.379
07 Balears, Illes;Hombres;2021;584.853
07 Balears, Illes;Hombres;2020;584.298
07 Balears, Illes;Hombres;2019;572.757
07 Balears, Illes;Hombres;2018;561.803
07 Balears, Illes;Hombres;2017;554.925
07 Balears, Illes;Hombres;2016;550.682
07 Balears, Illes;Hombres;2015;549.678
07 Balears, Illes;Hombres;2014;549.801
07 Balears, Illes;Hombres;2013;554.603
07 Balears, Illes;Hombres;2012;560.091
07 Balears, Illes;Hombres;2011;557.577
07 Balears, Illes;Hombres;2010;555.204
07 Balears, Illes;Hombres;2009;551.079
07 Balears, Illes;Hombres;2008;540.395
07 Balears, Illes;Hombres;2007;517.593
07 Balears, Illes;Hombres;2006;501.899
07 Balears, Illes;Hombres;2005;492.642
07 Balears, Illes;Hombres;2004;478.046
07 Balears, Illes;Hombres;2003;474.248
07 Balears, Illes;Hombres;2002;458.349
07 Balears, Illes;Hombres;2001;437.340
07 Balears, Illes;Hombres;2000;419.095
07 Balears, Illes;Hombres;1999;406.358
07 Balears, Illes;Hombres;1998;392.835
07 Balears, Illes;Hombres;1997;""
07 Balears, Illes;Hombres;1996;373.891
07 Balears, Illes;Mujeres;2021;588.155
07 Balears, Illes;Mujeres;2020;587.245
07 Balears, Illes;Mujeres;2019;576.703
07 Balears, Illes;Mujeres;2018;567.105
07 Balears, Illes;Mujeres;2017;561.074
07 Balears, Illes;Mujeres;2016;556.538
07 Balears, Illes;Mujeres;2015;554.801
07 Balears, Illes;Mujeres;2014;553.641
07 Balears, Illes;Mujeres;2013;557.071
07 Balears, Illes;Mujeres;2012;559.348
07 Balears, Illes;Mujeres;2011;555.537
07 Balears, Illes;Mujeres;2010;550.845
07 Balears, Illes;Mujeres;2009;544.347
07 Balears, Illes;Mujeres;2008;532.449
07 Balears, Illes;Mujeres;2007;513.057
07 Balears, Illes;Mujeres;2006;499.163
07 Balears, Illes;Mujeres;2005;490.489
07 Balears, Illes;Mujeres;2004;476.999
07 Balears, Illes;Mujeres;2003;473.113
07 Balears, Illes;Mujeres;2002;458.619
07 Balears, Illes;Mujeres;2001;441.287
07 Balears, Illes;Mujeres;2000;426.535
07 Balears, Illes;Mujeres;1999;415.462
07 Balears, Illes;Mujeres;1998;403.648
07 Balears, Illes;Mujeres;1997;""
07 Balears, Illes;Mujeres;1996;386.488
08 Barcelona;Total;2021;5.714.730
08 Barcelona;Total;2020;5.743.402
08 Barcelona;Total;2019;5.664.579
