Sexo;Edad;Provincias;Periodo;Total
Mujeres;55  ;Total Nacional;1 de enero de 2020;365672
Mujeres;56  ;Total Nacional;1 de enero de 2020;347897
Mujeres;57  ;Total Nacional;1 de enero de 2020;337038
Mujeres;58  ;Total Nacional;1 de enero de 2020;329121
Mujeres;59  ;Total Nacional;1 de enero de 2020;330305
Mujeres;60  ;Total Nacional;1 de enero de 2020;320823
Mujeres;61  ;Total Nacional;1 de enero de 2020;313231
Mujeres;62  ;Total Nacional;1 de enero de 2020;305721
Mujeres;63  ;Total Nacional;1 de enero de 2020;285549
Mujeres;64  ;Total Nacional;1 de enero de 2020;276815
Mujeres;65  ;Total Nacional;1 de enero de 2020;264452
Mujeres;66  ;Total Nacional;1 de enero de 2020;263287
Mujeres;67  ;Total Nacional;1 de enero de 2020;260744
Mujeres;68  ;Total Nacional;1 de enero de 2020;244377
Mujeres;69  ;Total Nacional;1 de enero de 2020;238721
Mujeres;70  ;Total Nacional;1 de enero de 2020;248078
Mujeres;71  ;Total Nacional;1 de enero de 2020;257751
Mujeres;72  ;Total Nacional;1 de enero de 2020;234425
Mujeres;73  ;Total Nacional;1 de enero de 2020;223568
Mujeres;74  ;Total Nacional;1 de enero de 2020;231937
Mujeres;75  ;Total Nacional;1 de enero de 2020;218477
Mujeres;76  ;Total Nacional;1 de enero de 2020;212820
Mujeres;77  ;Total Nacional;1 de enero de 2020;181485
Mujeres;78  ;Total Nacional;1 de enero de 2020;165040
Mujeres;79  ;Total Nacional;1 de enero de 2020;200337
Mujeres;80  ;Total Nacional;1 de enero de 2020;132212
Mujeres;81  ;Total Nacional;1 de enero de 2020;145714
Mujeres;82  ;Total Nacional;1 de enero de 2020;158906
Mujeres;83  ;Total Nacional;1 de enero de 2020;169743
Mujeres;84  ;Total Nacional;1 de enero de 2020;156169
Mujeres;85  ;Total Nacional;1 de enero de 2020;147378
Mujeres;86  ;Total Nacional;1 de enero de 2020;141774
Mujeres;87  ;Total Nacional;1 de enero de 2020;130112
Mujeres;88  ;Total Nacional;1 de enero de 2020;112329
Mujeres;89  ;Total Nacional;1 de enero de 2020;103097
Mujeres;90  ;Total Nacional;1 de enero de 2020;85442
Mujeres;91  ;Total Nacional;1 de enero de 2020;73126
Mujeres;92  ;Total Nacional;1 de enero de 2020;57876
Mujeres;93  ;Total Nacional;1 de enero de 2020;48325
Mujeres;94  ;Total Nacional;1 de enero de 2020;37587
Mujeres;95  ;Total Nacional;1 de enero de 2020;29242
Mujeres;96  ;Total Nacional;1 de enero de 2020;21607
Mujeres;97  ;Total Nacional;1 de enero de 2020;16016
Mujeres;98  ;Total Nacional;1 de enero de 2020;10649
Mujeres;99  ;Total Nacional;1 de enero de 2020;7373
Mujeres;100 ;Total Nacional;1 de enero de 2020;10169

